"Datum","VPI"
2015-07-04,95
2015-07-05,95
2015-07-06,95
2015-07-07,95
2015-07-08,95
2015-07-09,95
2015-07-10,95
2015-07-11,95
2015-07-12,95
2015-07-13,95
2015-07-14,95
2015-07-15,95
2015-07-16,95
2015-07-17,95
2015-07-18,95
2015-07-19,95
2015-07-20,95
2015-07-21,95
2015-07-22,95
2015-07-23,95
2015-07-24,95
2015-07-25,95
2015-07-26,95
2015-07-27,95
2015-07-28,95
2015-07-29,95
2015-07-30,95
2015-07-31,95
2015-08-01,94.9
2015-08-02,94.9
2015-08-03,94.9
2015-08-04,94.9
2015-08-05,94.9
2015-08-06,94.9
2015-08-07,94.9
2015-08-08,94.9
2015-08-09,94.9
2015-08-10,94.9
2015-08-11,94.9
2015-08-12,94.9
2015-08-13,94.9
2015-08-14,94.9
2015-08-15,94.9
2015-08-16,94.9
2015-08-17,94.9
2015-08-18,94.9
2015-08-19,94.9
2015-08-20,94.9
2015-08-21,94.9
2015-08-22,94.9
2015-08-23,94.9
2015-08-24,94.9
2015-08-25,94.9
2015-08-26,94.9
2015-08-27,94.9
2015-08-28,94.9
2015-08-29,94.9
2015-08-30,94.9
2015-08-31,94.9
2015-09-01,94.8
2015-09-02,94.8
2015-09-03,94.8
2015-09-04,94.8
2015-09-05,94.8
2015-09-06,94.8
2015-09-07,94.8
2015-09-08,94.8
2015-09-09,94.8
2015-09-10,94.8
2015-09-11,94.8
2015-09-12,94.8
2015-09-13,94.8
2015-09-14,94.8
2015-09-15,94.8
2015-09-16,94.8
2015-09-17,94.8
2015-09-18,94.8
2015-09-19,94.8
2015-09-20,94.8
2015-09-21,94.8
2015-09-22,94.8
2015-09-23,94.8
2015-09-24,94.8
2015-09-25,94.8
2015-09-26,94.8
2015-09-27,94.8
2015-09-28,94.8
2015-09-29,94.8
2015-09-30,94.8
2015-10-01,94.9
2015-10-02,94.9
2015-10-03,94.9
2015-10-04,94.9
2015-10-05,94.9
2015-10-06,94.9
2015-10-07,94.9
2015-10-08,94.9
2015-10-09,94.9
2015-10-10,94.9
2015-10-11,94.9
2015-10-12,94.9
2015-10-13,94.9
2015-10-14,94.9
2015-10-15,94.9
2015-10-16,94.9
2015-10-17,94.9
2015-10-18,94.9
2015-10-19,94.9
2015-10-20,94.9
2015-10-21,94.9
2015-10-22,94.9
2015-10-23,94.9
2015-10-24,94.9
2015-10-25,94.9
2015-10-26,94.9
2015-10-27,94.9
2015-10-28,94.9
2015-10-29,94.9
2015-10-30,94.9
2015-10-31,94.9
2015-11-01,94.9
2015-11-02,94.9
2015-11-03,94.9
2015-11-04,94.9
2015-11-05,94.9
2015-11-06,94.9
2015-11-07,94.9
2015-11-08,94.9
2015-11-09,94.9
2015-11-10,94.9
2015-11-11,94.9
2015-11-12,94.9
2015-11-13,94.9
2015-11-14,94.9
2015-11-15,94.9
2015-11-16,94.9
2015-11-17,94.9
